function,swarmsize,dim,maxiter,w,c1,c2,duration,best_iter,best_val,best_pos
quadratic,100,2,150,0.80,2.00,1.70,0.000619,128,2.33894e-11,"2.03773e-06;4.386e-06"
quadratic,100,2,150,0.80,2.00,2.00,0.000688,148,2.50688e-09,"4.84789e-05;-1.25172e-05"
quadratic,100,2,150,1.00,1.00,1.00,0.000625,79,0.000747805,"0.0272418;0.00238528"
quadratic,100,2,150,1.00,1.00,1.30,0.000628,129,0.00400131,"0.0456256;-0.0438133"
quadratic,100,2,150,1.00,1.00,1.50,0.000658,24,0.000361086,"-0.0132502;0.0136205"
quadratic,100,2,150,1.00,1.00,1.70,0.000642,30,0.00317514,"-0.0365607;0.0428772"
quadratic,100,2,150,1.00,1.00,2.00,0.000623,19,0.000753618,"-0.0272543;0.0032895"
quadratic,100,2,150,1.00,1.30,1.00,0.000992,13,0.00325064,"0.0115536;0.0558314"
quadratic,100,2,150,1.00,1.30,1.30,0.000990,40,0.000241632,"0.00396574;-0.0150301"
quadratic,100,2,150,1.00,1.30,1.50,0.000683,145,0.00072359,"-0.00208126;-0.026819"
quadratic,100,2,150,1.00,1.30,1.70,0.000680,54,0.000495753,"-0.0197339;0.0103115"
quadratic,100,2,150,1.00,1.30,2.00,0.000660,13,0.0019096,"0.0436985;0.000196098"
quadratic,100,2,150,1.00,1.50,1.00,0.000659,131,9.5531e-05,"0.00487374;0.00847217"
quadratic,100,2,150,1.00,1.50,1.30,0.000671,6,0.000904009,"0.0296791;-0.00481247"
quadratic,100,2,150,1.00,1.50,1.50,0.000640,28,0.00581626,"0.0215735;-0.0731495"
quadratic,100,2,150,1.00,1.50,1.70,0.000651,14,0.00494014,"-0.0326148;0.0622608"
quadratic,100,2,150,1.00,1.50,2.00,0.000699,39,0.000633586,"-0.0156424;0.0197206"
quadratic,100,2,150,1.00,1.70,1.00,0.000654,65,3.06929e-05,"-0.0046678;-0.00298406"
quadratic,100,2,150,1.00,1.70,1.30,0.000652,32,0.000783527,"-0.019891;0.0196946"
quadratic,100,2,150,1.00,1.70,1.50,0.000668,101,0.000279733,"-0.0167173;-0.000515457"
quadratic,100,2,150,1.00,1.70,1.70,0.000665,9,0.00484642,"-0.0581309;-0.0383043"
quadratic,100,2,150,1.00,1.70,2.00,0.000687,80,0.000287834,"-0.013081;0.0108038"
quadratic,100,2,150,1.00,2.00,1.00,0.000661,49,0.00492995,"0.0696232;0.00908623"
quadratic,100,2,150,1.00,2.00,1.30,0.000668,134,0.000117869,"-0.00103724;-0.0108071"
